Hotel Name,Price,Review Score (/10),Hotel URL,Description,Latitude,Longitude,Distance (km)
Jolie Ville Hotel & Spa Kings Island Luxor,392,8.6,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,"Jolie Ville Hotel & Spa Kings Island Luxor is a luxurious resort located on a private island. Surrounded by 165 acres of landscaped gardens, it overlooks the Nile and features 3 outdoor swimming pools.

Each room offers a private terrace overlooking the lush gardens. All benefit from air conditioning, satellite TV and tea/coffee making facilities.

Jolie Ville Hotel & Spa Kings Island Luxor features an infinity-edge swimming pool with Nile views and a water cannon. Guests can also enjoy various leisure facilities including 4 tennis courts and a gym.

Over 10 different restaurants, bars and lounges are available at Jolie Ville Kings. French à la carte cuisine can be enjoyed at La Fleur Restaurant, while the atmospheric Fellah Tent offers traditional belly dancing, water pipes and Turkish coffee.

Luxor International Airport is 8.7 mi from the hotel. | Couples in particular like the location – they rated it 9.1 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | To see correct prices and occupancy info, add the number and ages of children in your group to your search.",25.668305830385904,32.62298405170441,503.81
Hilton Luxor Resort & Spa,693,9.0,https://www.booking.com/hotel/eg/hilton-luxor-resort-spa.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=4773001_266271867_2_33_0&highlighted_blocks=4773001_266271867_2_33_0&matching_block_id=4773001_266271867_2_33_0&sr_pri_blocks=4773001_266271867_2_33_0__69275&nad_id=b14f6a5f-12c0-44fa-9bb5-2d8e49c8615e_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Nzg0MDQ0MTAzNDQsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoib1pnQWxJckdjaUs3VjhGOG42eUQ5b2pPdy9PVjNjMDBkZjVMZnZ0enVXOU1vTFliZ1NOQ3hxZElnRmF6ekcyQ1ZHemNKT2RMb2VkMjY1NTBiZjNwTklUNnNzOUhlM0xReUZqT1UyV2pqT0JsN3FkeXBzazJIMTgrVkFvQW1jK1FWOHRTM29jWVd5dGNVOTdRaXhNRHpDZHY5VW8rZjNJeEVmU1UyUDhuM1NLUGFoaVNkYkRvbVFJeFlCTWNpWmllMGxZTVlTQmljMFFhU1RRWWRqTllOa1RLcEN0NkhSWnhKYXdoMEt1MUEwQnJ2K0cxL3p4Y3M3QjkyYm9KUjVxM096eXh1cDIwNWxjVzZ3L1dmUXpzeVZKYVJTSWFaYWlNZkE5bnJXOWlkMyt1cFhzMEtiMytMY1FOcVIyMjdGTkxPeU9KNHNkQy9sSURTR1pCbXZHcmdpdlBUeWtuNTJDTVZ2cDIwem9pMWVQbjBnak1oZ3R1ckJPQit5bExXNHRzYzYxOVJaR2xEb1AyM1U2VnU2L0FhYmd1NVVDUi85T2dIOEM4UTA1U1FseVllRlhyYjd5Y3BpV3dLUXdlNGhneXJWZHVMMHluZFNCNytURmkxSlIveDVRYUh2Tlg1THVwSjd1MkEvYXhFclBqTVBKUWN1eGVuVlFXVVYvTUNJRmxYNDl6cUtKUExhYlZMaTFmRTZNcHh4bkhVNHovQlViQ0Vxbloyc08zbTYrajlWKzhjakJ0UHVUWTBLc2YzK1BDRGFpSlB1QnFCSXZuUTdkNXQ5VHplaWZQbGdOMTZGTXluWFE4eXJwa202RjhCZk4yZERtKzdEeld1eFRIRXN3bWZ0ZUpDN2hyYXJqQmp2THpXd0hFSG56NDlPNVFJbVgrYWtCMVpYa1k5RVp6REFGeVViRHRsUWd1TXNlNG90eHh4MUxwcU8xakx5TU16aEVNSGo0MVFCMi9ickdLY1RENzdScW5QaUxCVkpFL0NCVXVPZHE5TkFpdTAwbXdLSDdZdmUvcTlGd1AyUDN6WGJwL2Z1dHBJaVRXUlQxYjBxUUJBVUh4NnN5NlpGcUxIQ1k0YUlmNkRVQ1JWS2NRejJuUW1wL0RuTm91NkI0UC9Zem9LdWE5VnRaamJPQ2hLRlZuR2d5RnJSSmpkRXh1em1CREdOY0UxY2I0THdSWXR5MVMxdWlMR3FEZTFUYzlLR3kwQk1vQTRpWHJvOXNtOTZnZHhuVUtVN1hESkNvdVd3NEhieFhaNXhaakFNeHkzbEN5cElhQTFrd1FDVE1zV3BtdDJQQktJOFRhYWJqSi9UT242R2tlSnM2bFZOU0dudUpmWWxhcXBnVzlrS1hCN2JBVHRSK3JQanBmcE15cy9NZm80cnJXZjM3VDZzVDRYQVMwQWJRVWRsQkxBelJwU3ZjYzdWSWRBZVcvSUZway9GamJRb3ZOTEllTitHWVZMb0pRVUlJR1dvOVZRNlFPQllEQkszbjNVT3l6eG5OUWZ2aWRxMHkxSzJaeWZGQ21IQWpMSDROLzRGYzRubmNwWjVRSS9VdWRLWDVwUWFINEcwci9UN05EQUJsbGFGd1JNNFhqaERnQTdPcGk1Q0RpWkdFY0grSjV1V3g5UUR5aGkzUTF1Rm9DMExyZkhXa1hPYmJBOSt2U2FqNmthaFFHZG5pM28veU4xc1hlVnBhdWhmdUFKTGZVRXZ1UWVPakt2bXY0bFcxeENuYzY1VkM1WHBZRXh1bDNjZXpjTWp4NEpTbTlxOUdtQWlOMllTY1hLaHlwSFRacmdjWlpPZXU3ZGtBZDVBOTlLQVlQUGEzSnRuaGdKdTZBaU9QSFNsQkdwM2FJZzVKbDIzcXJ1ZHR2RHRMM1NoL2lmbFRXS0pvMG9PRUNMUHNPS1RjR0lRcjg3VmN4WitwaTV2ZFYzRDN2V2pMbGFMUVNiN2JXR281d1F2QjliZzlsRjJ4c0ZUSjlKendBZzBOZkY5M25nYmhqdFg1T1o1OTZlOEN2OXM3a3VHTlEwNXpmNEJuYVNxNFMwWm1CaWtrMDZCUjk4bE0zUlZXYzJLdTVBdnk3RkRhVWx0NTZ4aEZ3SHNRVzVjTT0ifQ%3D%3D&nad_placement=SR_MAIN&from_sustainable_property_sr=1&from=searchresults,"Nestled on the banks of the Nile, Hilton Luxor Resort & Spa offers stylish rooms with uninterrupted views from the water’s edge, luxurious spa facilities and stunning infinity pools.

Guests can enjoy the tranquil environment and attentive service at Hilton Luxor Resort. Guests may choose from classic Hilton rooms to upgraded suites with Nile views.

Holistic treatments are available at the Spa. The Resort also offers 2 beautiful infinity pools and  cabana hammocks beside the Nile.

The resort features 7 elegant bars and restaurants, serving a variety of international cuisines.

Guests can explore the rich culture of this ancient region of Egypt.

Important Information> 
-Bookings on December 24 and December 31, 2025, include mandatory gala dinners. 
-The child (6-12 years old) supplement cost after 50% discount is $63 on Dec. 24 and $128 on Dec. 31. 
-Hilton redemption booking is not included.

Biohacking Spa Experience has been added to the Superior Spa Suite: advanced detoxifying steam treatment system bed and innovated touchless vibroacoustic & sound experience. | Couples in particular like the location – they rated it 9.4 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 13 and above will be charged as adults at this property.",25.730004297652176,32.65572980046272,498.12
Nefertiti Hotel Luxor,190,8.5,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,"Overlooking the ancient Luxor Temple, Nefertiti offers comfortable rooms with air conditioning and a private bathroom. Luxor’s train station is only a 10 minute walk away.

The rooms of Nefertiti enjoy a simple interior. Some of the rooms have a private balcony.

Nefertiti has a tour desk which offers Nile River cruises and several sightseeing trips in Luxor. It also has a convenient 24-hour front desk service.

A variety of drinks and Egyptian dishes are served on the rooftop terrace. Guests can also smoke a traditional Egyptian water pipe.

The hotel is only a 20 minute drive from Luxor International Airport. | Couples in particular like the location – they rated it 9.4 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 13 and above will be charged as adults at this property.",25.70140916779594,32.64196738600731,500.79
Steigenberger Resort Achti,337,8.8,https://www.booking.com/hotel/eg/sheraton-luxor-resort.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1613626_422439268_2_42_0_452392&highlighted_blocks=1613626_422439268_2_42_0_452392&matching_block_id=1613626_422439268_2_42_0_452392&sr_pri_blocks=1613626_422439268_2_42_0_452392_33742&from_sustainable_property_sr=1&from=searchresults,"Located on the banks of the River Nile, Steigenberger Resort Achti is an 8-acre luxury resort has lush tropical gardens.

All rooms and suites at the Steigenberger Resort Achti are air-conditioned and have elegant furnishings. Each room is equipped with satellite flat-screen TV, coffee and tea making facilities, safe, mini-bar and hairdryer. The rooms offer views ranging from the Nile, the gardens and surrounding countryside.

The 2 restaurants onsite are AlKarnak restaurant and terrace serving international cuisine and Niño’s Italian restaurant serving the Italian dishes and pizza. 3 bars are also available featuring a bar an terrace setting to poolside bars.

The 24 hours Room Service offering our guests the privacy to dine in their room.

The center of Luxor is located less than 1.9 mi from the hotel. It is 1.2 mi from Luxor Temple and Mummification Museum and 1.9 mi from Luxor Museum. Steigenberger Resort Achti is 7.5 mi from Luxor International Airport and it provides airport shuttle services upon request at a surcharge. | Couples in particular like the location – they rated it 9.2 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property. | To see correct prices and occupancy info, add the number and ages of children in your group to your search.",25.683380531580312,32.62751430273056,502.32
Pyramisa Hotel Luxor,308,8.0,https://www.booking.com/hotel/eg/pyramisa-isis-suites-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1603229_264081820_0_34_0&highlighted_blocks=1603229_264081820_0_34_0&matching_block_id=1603229_264081820_0_34_0&sr_pri_blocks=1603229_264081820_0_34_0__30772&from=searchresults,"On the banks of the Nile, this resort offers air conditioned rooms with views of the river, tropical grounds, or outdoor pools. It is located in the center of Luxor and half a mile from Luxor Temple.

A satellite/cable TV and a minibar are in Pyramisa’s spacious rooms. Each comes with a sitting area, and a private bathroom with bathtub and shower.

International buffet meals, including breakfast, are served daily at Lotus Restaurant. Isis Hotel has a barbecue terrace, and a Chinese and an Italian themed restaurant. In the evening, there is live entertainment in the bar.

Various beauty treatments are available at the salon. Guests can also work out at the gym or play a game of racquetball.

Pyramisa Hotel Luxor is 6 miles from Luxor Airport, and the staff can arrange a shuttle. | Couples in particular like the location – they rated it 9.0 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | To see correct prices and occupancy info, add the number and ages of children in your group to your search.",25.686895109185684,32.629865258932114,502.01
S S Luxor Hotel,172,8.2,https://www.booking.com/hotel/eg/s-s-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1491671303_420820992_0_2_0&highlighted_blocks=1491671303_420820992_0_2_0&matching_block_id=1491671303_420820992_0_2_0&sr_pri_blocks=1491671303_420820992_0_2_0__17213&from=searchresults,"Comfortable Accommodations: S S Luxor Hotel in Luxor offers comfortable rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes a tea and coffee maker, mini-bar, and free WiFi, ensuring a pleasant stay.

Leisure Facilities: Guests can relax on the sun terrace or enjoy the year-round outdoor swimming pool. The hotel features a bar, outdoor fireplace, and outdoor seating area, providing ample opportunities for leisure and socializing.

Convenient Location: Located a 9-minute walk from Luxor Train Station and 5 minutes from Luxor Temple, the hotel is close to key attractions such as Luxor Museum (0.9 mi) and Karnak Temple (2.1 mi). Luxor International Airport is 5 mi away.",25.7015793507106,32.6420422009917,500.77
Aracan Eatabe Luxor Hotel,253,8.6,https://www.booking.com/hotel/eg/el-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=17277229_370120725_2_42_0&highlighted_blocks=17277229_370120725_2_42_0&matching_block_id=17277229_370120725_2_42_0&sr_pri_blocks=17277229_370120725_2_42_0__25337&from=searchresults,"Centrally located in Luxor, between Luxor Temple and Museum, this 4-star hotel is surrounded by garden and it features an outdoor pool with sun lounger deck, a poolside bar and 4 restaurants. The property offers free WiFi at the lobby and free WiFi inside the rooms as well.

Aracan Eatabe Luxor Hotel provides rooms that are comfortably furnished, include LCD TVs and offer views of the hotel’s garden or the Nile.

Guests can enjoy rich breakfast, lunch, and dinner either indoors in a light-filled restaurant or outdoors by the pool.

Aracan Eatabe Luxor Hotel is 4.3 mi from Luxor International Airport. | Couples in particular like the location – they rated it 9.6 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property.",25.705051302467393,32.64250785112381,500.42
Iberotel Luxor by JAZ,360,8.4,https://www.booking.com/hotel/eg/iberotel-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1605509_422435793_2_33_0&highlighted_blocks=1605509_422435793_2_33_0&matching_block_id=1605509_422435793_2_33_0&sr_pri_blocks=1605509_422435793_2_33_0__36032&from_sustainable_property_sr=1&from=searchresults,"A heated pool floating on the Nile is one of the most unique features of this 4-star hotel. Overlooking the Theben Hills, Iberotel Luxor also offers a restaurant boat and rooms with private balconies.

The generous breakfast includes cereals, yogurt, omelets, grilled vegetables and fresh Danish pastries. Guests can savor Egyptian, Mediterranean and Asian cuisine, while enjoying views of the Nile.

The spacious rooms at Iberotel Luxor come with satellite TV and mini-bars. Each is air conditioned and has a safety deposit box.

Centrally located in Luxor, the hotel is positioned directly on the Nile and just 10 minutes' walk from the Luxor Temple. Luxor Airport is 20 minutes' drive away.

There are many historical sites to see and explore the world’s largest Luxor open-air museum. Guests can ask the concierge to assist them with recommendations and bookings. Guests can also enjoy romantic cruises down the River Nile, which can be arranged upon request in an added charge. | Couples in particular like the location – they rated it 9.4 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property.",25.694467777125418,32.634234577417374,501.32
Sheherazade Hotel Nile Villa,110,8.9,https://www.booking.com/hotel/eg/mountain-bloom-retreat.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1322194305_404892948_2_42_0&highlighted_blocks=1322194305_404892948_2_42_0&matching_block_id=1322194305_404892948_2_42_0&sr_pri_blocks=1322194305_404892948_2_42_0__11040&from=searchresults,"Comfortable Accommodations: Sheherazade Hotel Nile Villa in Luxor offers a spacious apartment with a sun terrace, garden, and free WiFi. Guests enjoy a private check-in and check-out, 24-hour front desk, and full-day security.

Dining Experience: The family-friendly restaurant serves Middle Eastern cuisine with halal, vegetarian, vegan, and gluten-free options. Breakfast includes fruits, and meals are available for lunch and dinner. An outdoor fireplace and picnic area enhance the dining experience.

Convenient Location: Located 2.4 mi from Colossi of Memnon and 12 mi from Luxor International Airport, the apartment is near attractions such as Valley of the Kings and Luxor Temple. Cycling activities are available, and the property offers a tour desk. Highly rated by guests.",25.70020435074513,32.63063268487219,500.61
Family Hotel Luxor,54,8.3,https://www.booking.com/hotel/eg/family-luxor-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1582863902_430795119_2_1_0&highlighted_blocks=1582863902_430795119_2_1_0&matching_block_id=1582863902_430795119_2_1_0&sr_pri_blocks=1582863902_430795119_2_1_0__5400&from=searchresults,"Comfortable Accommodations: Family Hotel Luxor in Luxor offers family rooms with air-conditioning, balconies, and private bathrooms. Each room includes a shower and tiled floors, ensuring a pleasant stay.

Essential Facilities: Guests enjoy a sun terrace and free WiFi, perfect for relaxation and connectivity. The property features a 24-hour front desk, concierge service, and a tour desk, catering to all needs.

Convenient Location: Located 5 minutes from Luxor Train Station and 0.7 mi from Luxor Temple, the hotel is also close to attractions such as Luxor Museum (1.7 mi) and Karnak Temple (2.2 mi). Luxor International Airport is 5 mi away.",25.69469335682138,32.64269355702039,501.53
